epoch;accuracy;loss;lr;precision;recall;val_accuracy;val_loss;val_precision;val_recall
0;0.8969833;0.32680801691214245;0.001;0.88868916;0.7962738;0.47510001063346863;1.372967272567749;1.0;0.46857282519340515
1;0.9680667;0.10300475659966468;0.001;0.9804539;0.97151387;0.9854000210762024;0.048772910901159046;0.9845596551895142;0.9925638437271118
2;0.9759833;0.07739055401881535;0.001;0.98607576;0.98191065;0.987500011920929;0.037484209598507734;0.9929826855659485;0.9820358753204346
3;0.98071665;0.0644456516255935;0.001;0.9850828;0.98364556;0.991599977016449;0.029315050305984913;0.9900640845298767;0.9980068802833557
4;0.98245;0.05615958254337311;0.001;0.99193704;0.9871074;0.9898999929428101;0.030308685719594358;0.9984701871871948;0.9745755791664124
5;0.98366666;0.05044097533027331;0.001;0.9902733;0.98875076;0.9912999868392944;0.026266883299872278;0.9812455177307129;0.9995558261871338
6;0.98525;0.04616653352677822;0.001;0.99292684;0.99217784;0.9926000237464905;0.02432218803651631;0.9984994530677795;0.9903080463409424
7;0.9867167;0.04413615505596002;0.001;0.99027395;0.9892804;0.9894999861717224;0.031003109177900477;0.9897943139076233;0.9952486157417297
8;0.98735;0.04274671633740266;0.001;0.9945876;0.99177676;0.9927999973297119;0.025702416754188016;0.9793663620948792;1.0
9;0.98766667;0.040091311480601625;0.001;0.99517214;0.9917232;0.9936000108718872;0.01820276439890731;0.9888824224472046;0.9980571269989014
10;0.9891667;0.03632440602779388;0.001;0.99370563;0.99212575;0.9926000237464905;0.02108699898412451;0.9834951758384705;0.9975106120109558
11;0.98925;0.03524803670967619;0.001;0.9923804;0.9928455;0.9933000206947327;0.019175161995599047;0.9836548566818237;0.9995558261871338
12;0.98938334;0.034762751514961325;0.001;0.9940293;0.99284655;0.9925000071525574;0.022163938077143393;0.9865885972976685;0.9995558261871338
13;0.9898833;0.03152473047226667;0.001;0.9948329;0.9927354;0.9929999709129333;0.02173876234716736;0.9864098429679871;0.9980068802833557
14;0.9903333;0.03254492201407751;0.001;0.9942543;0.99348086;0.994700014591217;0.017200657097256045;0.9895408749580383;0.9995558261871338
15;0.99041665;0.030823584395026166;0.001;0.9962916;0.9938399;0.9939000010490417;0.018102586968720424;0.9852344393730164;0.9980068802833557
16;0.99093336;0.03098573932374517;0.001;0.9938471;0.99486333;0.992900013923645;0.02037871020276798;0.9879879355430603;0.9980068802833557
17;0.99105;0.02995689181610942;0.001;0.9943477;0.99569434;0.9947999715805054;0.01846177437262377;0.9909568428993225;0.9975610971450806
18;0.99105;0.02942629130122562;0.001;0.99545354;0.9956589;0.9937000274658203;0.019173575578886083;0.9831718802452087;1.0
19;0.99148333;0.028205937731886902;0.001;0.9934322;0.99485624;0.9940999746322632;0.01941787840704783;0.9937623143196106;0.9993594884872437
20;0.99188334;0.02613734449328234;0.001;0.99689794;0.9965266;0.9944999814033508;0.01767736828797497;0.9889565706253052;0.9995558261871338
21;0.99118334;0.029080819010486206;0.001;0.9955146;0.9903514;0.9948999881744385;0.014684796151053161;0.9891494512557983;0.9995558261871338
22;0.9924667;0.025142699507872263;0.001;0.99534386;0.9945466;0.9937999844551086;0.01673930256519234;0.9846553802490234;0.9995558261871338
23;0.9921167;0.02546245433272173;0.001;0.9946164;0.99450064;0.9945999979972839;0.015054303317767335;0.9897210597991943;0.9995558261871338
24;0.9921167;0.025559069513746847;0.001;0.9930495;0.9935691;0.9940000176429749;0.017132333709488738;0.9927300810813904;0.9980571269989014
25;0.99235;0.02558463766463101;0.001;0.99362254;0.99318343;0.9950000047683716;0.01536468268475146;0.9915366768836975;1.0
26;0.9921333;0.024228784051102896;0.001;0.99655455;0.995705;0.9941999912261963;0.01646303270961507;0.9942401051521301;0.9980068802833557
27;0.99266666;0.02419426273057858;0.001;0.99581736;0.996044;0.9950000047683716;0.016263450821334846;0.9937517046928406;0.9976587295532227
28;0.99255;0.024283855525714656;0.001;0.9956716;0.99706715;0.995199978351593;0.01364036403119244;0.9907342195510864;0.9995558261871338
29;0.99326664;0.021984403788360456;0.001;0.9955815;0.99425405;0.9945999979972839;0.016154471253370866;0.992605984210968;0.9968560934066772
30;0.99301666;0.022492419127902636;0.001;0.99544066;0.99450946;0.994700014591217;0.014142817628133344;0.9926130175590515;0.9976587295532227
31;0.99265;0.023473451471701264;0.001;0.99315184;0.9944713;0.9945999979972839;0.016788831458479397;0.9926268458366394;0.9995558261871338
32;0.9936;0.020432300639525055;0.001;0.99828297;0.9963845;0.9944000244140625;0.01671882840769831;0.9926149249076843;0.9980068802833557
33;0.9931833;0.0227817750267374;0.001;0.9954949;0.9929665;0.9954000115394592;0.01480949284041999;0.9926291108131409;1.0
34;0.9938667;0.020680209608593333;0.001;0.9937378;0.9958234;0.9941999912261963;0.017382804373756517;0.9909786581993103;1.0
35;0.9936;0.020895567881378033;0.001;0.99648803;0.9937942;0.9934999942779541;0.017065451067945107;0.9924134016036987;0.9964577555656433
36;0.99325;0.02167049856732289;0.001;0.99728024;0.99609166;0.9937999844551086;0.01672389330875594;0.987350344657898;0.9995558261871338
37;0.99366665;0.019825866495476414;0.001;0.9946219;0.9963103;0.9947999715805054;0.014058517626996036;0.9915339946746826;0.9995558261871338
38;0.99415;0.01870503899284328;0.001;0.99640447;0.9969396;0.9939000010490417;0.017902378057339227;0.9926122426986694;0.9975610971450806
39;0.99408334;0.019888451153164108;0.001;0.9955195;0.9967431;0.994700014591217;0.014801647975812375;0.9891494512557983;0.9995558261871338
40;0.99406666;0.01941205433635041;0.001;0.9954455;0.99669296;0.9954000115394592;0.015053745645395248;0.99296635389328;0.9948609471321106
41;0.9941;0.02073701947759837;0.001;0.9954702;0.9966345;0.9955999851226807;0.01353170558284619;0.994096577167511;0.9995558261871338
42;0.9946833;0.017980171691152888;0.001;0.99716514;0.9963126;0.9961000084877014;0.013257795442207135;0.9915339946746826;0.9995558261871338
43;0.99483335;0.01681079266142721;0.001;0.9977461;0.99513865;0.9954000115394592;0.014176935665609198;0.9926291108131409;1.0
44;0.99408334;0.019808031636010855;0.001;0.99732226;0.9960277;0.995199978351593;0.01593828309850214;0.9907941222190857;0.9995558261871338
45;0.99418336;0.019684549750449757;0.001;0.9969653;0.9945995;0.9957000017166138;0.015558682434163347;0.9935687780380249;0.9995558261871338
46;0.9943;0.019182390871457757;0.001;0.9965023;0.99698675;0.995199978351593;0.015939880798825107;0.9915366768836975;1.0
47;0.99471664;0.017158763165337345;0.001;0.9967048;0.99679697;0.9948999881744385;0.013550572900442058;0.9926149249076843;0.9980068802833557
48;0.99418336;0.01911029488189767;0.001;0.99672097;0.99753684;0.9955000281333923;0.016115859072870806;0.9901647567749023;0.9995558261871338
49;0.9945;0.018102480023074897;0.001;0.9957456;0.9966248;0.9955000281333923;0.014221551883293432;0.9954046010971069;0.997212827205658
50;0.9944;0.018540853021542233;0.001;0.9993839;0.9965318;0.9954000115394592;0.01435835704022029;0.993743896484375;0.9984053373336792
51;0.99483335;0.017343845843151212;0.001;0.99564755;0.9958957;0.9940000176429749;0.018263893655544962;0.9946610927581787;0.9980571269989014
52;0.99405;0.01961072781945889;0.001;0.99677676;0.9956386;0.9955999851226807;0.015055136924578619;0.9940899014472961;0.9984053373336792
